"UberEats_startTime,UberEats_endTime,UberEats_restaurant_info/b_name,UberEats_restaurant_info/vb_name,GrubHub_startTime,GrubHub_endTime,GrubHub_restaurant_info/b_name,GrubHub_restaurant_info/vb_name,is_out_of_range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
"00:00,23:59,Panini Grill - 937 1st Ave,Snobby Chicken Wings,00:00:00.000,00:00:00.000,Panini Grill - 937 1st Ave,Snobby Chicken Wings,In Range"
",,Sal's Place Deli Grocery,The Pancake Snob,00:00:00.000,00:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Pancake Snob,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Pancake Snob,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Sal's Place Deli Grocery,The Pancake Snob,07:00:00.000,23:00:00.000,Sal's Place Deli Grocery,The Pancake Snob,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,The Burger Stack,06:00:00.000,01:00:00.000,Lemon Tree Gourmet Deli,The Burger Stack,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,The Burger Stack,06:00:00.000,01:00:00.000,Lemon Tree Gourmet Deli,The Burger Stack,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,The Burger Stack,00:00:00.000,00:00:00.000,Lemon Tree Gourmet Deli,The Burger Stack,Out of Range with 5 mins difference"
",,Lemon Tree Gourmet Deli,The Burger Stack,06:00:00.000,01:00:00.000,Lemon Tree Gourmet Deli,The Burger Stack,Out of Range with 5 mins difference"
",,Seaport Deli,Smoothie And Dessert Bar,00:00:00.000,00:00:00.000,Seaport Deli,Smoothie And Dessert Bar,Out of Range with 5 mins difference"
",,Seaport Deli,Smoothie And Dessert Bar,00:00:00.000,00:00:00.000,Seaport Deli,Smoothie And Dessert Bar,Out of Range with 5 mins difference"
",,Seaport Deli,Smoothie And Dessert Bar,00:00:00.000,00:00:00.000,Seaport Deli,Smoothie And Dessert Bar,Out of Range with 5 mins difference"
",,Seaport Deli,Smoothie And Dessert Bar,00:00:00.000,00:00:00.000,Seaport Deli,Smoothie And Dessert Bar,Out of Range with 5 mins difference"
",,The Original Italian Pie,Casa Pasta Ristorante,10:00:00.000,02:30:00.000,The Original Italian Pie,Casa Pasta Ristorante,Out of Range with 5 mins difference"
",,The Original Italian Pie,Casa Pasta Ristorante,10:00:00.000,02:30:00.000,The Original Italian Pie,Casa Pasta Ristorante,Out of Range with 5 mins difference"
",,The Original Italian Pie,Casa Pasta Ristorante,10:00:00.000,02:30:00.000,The Original Italian Pie,Casa Pasta Ristorante,Out of Range with 5 mins difference"
",,The Original Italian Pie,Casa Pasta Ristorante,10:00:00.000,15:00:00.000,The Original Italian Pie,Casa Pasta Ristorante,Out of Range with 5 mins difference"
",,Sicilian Pizza - Brentwood,Paulo's Pizza,10:00:00.000,21:30:00.000,Sicilian Pizza - Brentwood,Paulo's Pizza,Out of Range with 5 mins difference"
",,Sicilian Pizza - Brentwood,Paulo's Pizza,10:00:00.000,21:30:00.000,Sicilian Pizza - Brentwood,Paulo's Pizza,Out of Range with 5 mins difference"
",,Sicilian Pizza - Brentwood,Paulo's Pizza,10:00:00.000,21:30:00.000,Sicilian Pizza - Brentwood,Paulo's Pizza,Out of Range with 5 mins difference"
",,Sicilian Pizza - Brentwood,Paulo's Pizza,00:00:00.000,00:00:00.000,Sicilian Pizza - Brentwood,Paulo's Pizza,Out of Range with 5 mins difference"
",,Marhaba Indian,Indian Biryani Snob,11:30:00.000,23:30:00.000,Marhaba Indian,Indian Biryani Snob,Out of Range with 5 mins difference"
",,Marhaba Indian,Indian Biryani Snob,11:30:00.000,23:30:00.000,Marhaba Indian,Indian Biryani Snob,Out of Range with 5 mins difference"
",,Marhaba Indian,Indian Biryani Snob,11:30:00.000,23:30:00.000,Marhaba Indian,Indian Biryani Snob,Out of Range with 5 mins difference"
",,Marhaba Indian,Indian Biryani Snob,11:30:00.000,23:30:00.000,Marhaba Indian,Indian Biryani Snob,Out of Range with 5 mins difference"
",,Desi Deli,Indian Biryani Snob,09:30:00.000,19:16:50.411,Desi Deli,Indian Biryani Snob,Out of Range with 5 mins difference"
",,Desi Deli,Indian Biryani Snob,06:00:00.000,00:00:00.000,Desi Deli,Indian Biryani Snob,Out of Range with 5 mins difference"
",,Desi Deli,Indian Biryani Snob,06:00:00.000,00:00:00.000,Desi Deli,Indian Biryani Snob,Out of Range with 5 mins difference"
",,Desi Deli,Indian Biryani Snob,06:00:00.000,00:00:00.000,Desi Deli,Indian Biryani Snob,Out of Range with 5 mins difference"
",,Gaters,The Burger Co,11:00:00.000,21:00:00.000,Gaters,The Burger Co,Out of Range with 5 mins difference"
",,Gaters,The Burger Co,11:00:00.000,21:00:00.000,Gaters,The Burger Co,Out of Range with 5 mins difference"
",,Gaters,The Burger Co,11:00:00.000,21:00:00.000,Gaters,The Burger Co,Out of Range with 5 mins difference"
",,Gaters,The Burger Co,11:00:00.000,21:00:00.000,Gaters,The Burger Co,Out of Range with 5 mins difference"
",,Panini Cafe,Heavens Chicken Wings,00:00:00.000,00:00:00.000,Panini Cafe,Heavens Chicken Wings,Out of Range with 5 mins difference"
",,Panini Cafe,Heavens Chicken Wings,00:00:00.000,00:00:00.000,Panini Cafe,Heavens Chicken Wings,Out of Range with 5 mins difference"
",,Panini Cafe,Heavens Chicken Wings,00:00:00.000,00:00:00.000,Panini Cafe,Heavens Chicken Wings,Out of Range with 5 mins difference"
",,Panini Cafe,Heavens Chicken Wings,00:00:00.000,00:00:00.000,Panini Cafe,Heavens Chicken Wings,Out of Range with 5 mins difference"
",,Remedy Diner,Fried Chicken Savage,00:00:00.000,00:00:00.000,Remedy Diner,Fried Chicken Savage,Out of Range with 5 mins difference"
",,Remedy Diner,Fried Chicken Savage,00:00:00.000,00:00:00.000,Remedy Diner,Fried Chicken Savage,Out of Range with 5 mins difference"
",,Remedy Diner,Fried Chicken Savage,00:00:00.000,00:00:00.000,Remedy Diner,Fried Chicken Savage,Out of Range with 5 mins difference"
",,Remedy Diner,Fried Chicken Savage,00:00:00.000,00:00:00.000,Remedy Diner,Fried Chicken Savage,Out of Range with 5 mins difference"
",,Panini Cafe,Aldo's Wraps Spot,00:00:00.000,00:00:00.000,Panini Cafe,Aldo's Wraps Spot,Out of Range with 5 mins difference"
",,Panini Cafe,Aldo's Wraps Spot,06:00:00.000,00:00:00.000,Panini Cafe,Aldo's Wraps Spot,Out of Range with 5 mins difference"
",,Panini Cafe,Aldo's Wraps Spot,06:00:00.000,00:00:00.000,Panini Cafe,Aldo's Wraps Spot,Out of Range with 5 mins difference"
",,Panini Cafe,Aldo's Wraps Spot,06:00:00.000,00:00:00.000,Panini Cafe,Aldo's Wraps Spot,Out of Range with 5 mins difference"
",,Wesam Deli,Joes Chicken and Waffles,06:38:33.418,23:59:59.000,Wesam Deli,Joes Chicken and Waffles,Out of Range with 5 mins difference"
",,Wesam Deli,Joes Chicken and Waffles,07:00:00.000,00:00:00.000,Wesam Deli,Joes Chicken and Waffles,Out of Range with 5 mins difference"
",,Wesam Deli,Joes Chicken and Waffles,06:43:14.449,23:59:59.000,Wesam Deli,Joes Chicken and Waffles,Out of Range with 5 mins difference"
",,Wesam Deli,Joes Chicken and Waffles,07:00:00.000,17:33:24.743,Wesam Deli,Joes Chicken and Waffles,Out of Range with 5 mins difference"
",,Headlines Diner,Fiesta Mexican Spot,06:00:00.000,22:00:00.000,Headlines Diner,Fiesta Mexican Spot,Out of Range with 5 mins difference"
",,Headlines Diner,Fiesta Mexican Spot,06:00:00.000,22:00:00.000,Headlines Diner,Fiesta Mexican Spot,Out of Range with 5 mins difference"
",,Headlines Diner,Fiesta Mexican Spot,06:00:00.000,22:00:00.000,Headlines Diner,Fiesta Mexican Spot,Out of Range with 5 mins difference"
",,Headlines Diner,Fiesta Mexican Spot,06:00:00.000,22:00:00.000,Headlines Diner,Fiesta Mexican Spot,Out of Range with 5 mins difference"
",,Lincoln Gourmet Deli,Prima Panini Bar,00:00:00.000,00:00:00.000,Lincoln Gourmet Deli,Prima Panini Bar,Out of Range with 5 mins difference"
